project_id,station,budget_musd,planned_months,vendor_count,scope_changes,is_regulatory,prior_overruns_at_station,overrun
0,ST13,1.2167019307227678,20,4,0,1,0,0
1,ST02,1.8413694086614767,7,5,2,1,1,1
2,ST11,1.7502267003158563,23,1,1,1,1,1
3,ST04,3.299215289598229,13,2,0,0,2,1
4,ST17,3.383112821770535,21,2,2,1,0,0
5,ST14,0.6717237652163015,14,3,0,1,1,0
6,ST02,1.6337220665186722,16,3,1,0,0,1
7,ST16,0.6850487754780206,6,5,3,1,1,1
8,ST05,1.1611401023768853,10,5,2,1,1,0
9,ST10,1.7461844533785937,18,4,1,0,1,0
10,ST02,0.08830401864165088,21,1,1,0,0,0
11,ST02,9.29052656177327,4,1,1,0,0,1
12,ST05,2.123630113266265,4,5,0,1,1,0
13,ST10,0.8381462925138031,18,5,0,1,1,0
14,ST10,6.308486586872247,12,2,3,1,2,0
15,ST15,1.0223000744543296,21,1,2,1,1,1
16,ST03,1.5008258280786908,4,4,1,0,0,0
17,ST13,0.9142121267298638,10,3,2,0,2,1
18,ST01,5.061148682838711,3,5,1,0,1,1
19,ST05,1.2411175639256895,18,3,0,0,1,1
20,ST03,1.5213335421513905,21,4,0,1,2,0
21,ST03,3.5361045880993056,6,4,0,1,1,0
22,ST10,2.155691526329895,10,1,0,1,0,0
23,ST16,1.2924266145697056,21,1,2,1,1,0
24,ST12,3.2815398473465653,3,4,1,0,1,0
25,ST15,10.286029173087975,23,1,0,1,1,1
26,ST11,1.7400752493418907,22,2,3,0,2,1
27,ST01,1.4820230355336272,6,4,2,1,2,1
28,ST06,1.547284821652168,6,2,0,1,0,0
29,ST15,3.85104138242308,18,1,0,1,2,1
30,ST01,0.8358064699043518,3,1,3,1,1,0
31,ST02,1.0804157839969095,14,3,2,0,0,0
32,ST15,0.3945717184895604,4,4,2,1,1,1
33,ST02,0.5235648963280777,14,4,1,1,0,0
34,ST17,0.8920438377426037,10,5,2,1,1,0
35,ST13,1.2907847990555814,18,4,1,0,0,1
36,ST12,5.5581574564562715,22,4,1,0,2,1
