month,station,revenue,opex,is_election_year,political_window,major_sports_event
2017-01-01,ST01,10.153328887490815,7.043834450725435,0,0,0
2017-02-01,ST01,9.849344601590223,6.626190228958508,0,0,0
2017-03-01,ST01,10.667922949069352,7.474543843467215,0,0,0
2017-04-01,ST01,11.220284434185217,7.719628947430209,0,0,0
2017-05-01,ST01,11.890931375030544,8.270137398620037,0,0,0
2017-06-01,ST01,11.714679198502939,8.090335529296913,0,0,0
2017-07-01,ST01,12.285980763759598,8.620060800246572,0,0,0
2017-08-01,ST01,11.511123528366731,7.807203227425434,0,0,0
2017-09-01,ST01,11.118600788662729,7.58642013907503,0,0,1
2017-10-01,ST01,9.98371677563959,7.316842815347811,0,0,0
2017-11-01,ST01,9.91870087224232,6.7927545597663626,0,0,0
2017-12-01,ST01,9.902680183528592,6.80832345397822,0,0,0
2018-01-01,ST01,10.436076890331996,7.60547644666469,1,0,0
2018-02-01,ST01,11.243210594163305,8.362528986446668,1,0,0
2018-03-01,ST01,11.147382498697025,7.652365663445694,1,0,0
2018-04-01,ST01,11.336126055133438,7.909959954591463,1,0,0
2018-05-01,ST01,11.400354012399161,8.068540611664957,1,0,0
2018-06-01,ST01,13.212165449998924,9.60849942762044,1,0,1
2018-07-01,ST01,11.906351050460056,8.204294777310041,1,0,0
2018-08-01,ST01,11.584064691361034,8.102989947827561,1,0,0
2018-09-01,ST01,16.39374954477269,11.703027946781566,1,1,0
2018-10-01,ST01,15.573014465200359,11.042126507140136,1,1,0
2018-11-01,ST01,15.220353327097898,10.618548553191074,1,1,0
2018-12-01,ST01,9.823626908954855,6.886966258024295,1,0,0
2019-01-01,ST01,9.918752631728712,6.780592186654952,0,0,0
2019-02-01,ST01,10.140028759625562,7.09390744584747,0,0,0
2019-03-01,ST01,10.584423688931567,7.4006053108896666,0,0,0
2019-04-01,ST01,11.65228514890043,8.228924229080125,0,0,0
2019-05-01,ST01,12.3072036540733,8.55517533982138,0,0,0
2019-06-01,ST01,13.183095723879394,9.354357632543904,0,0,0
2019-07-01,ST01,13.142532484051316,9.425567868160464,0,0,1
2019-08-01,ST01,12.222099024031868,8.618144487690733,0,0,0
2019-09-01,ST01,11.717281785287433,8.294524980074824,0,0,1
2019-10-01,ST01,10.174039531219629,7.159371555737126,0,0,0
2019-11-01,ST01,9.774662603261152,6.871040897766889,0,0,0
2019-12-01,ST01,9.680034062466987,6.706313853910062,0,0,0
2020-01-01,ST01,10.730136343935332,7.590416998599511,1,0,0
2020-02-01,ST01,10.329992795047843,7.247265966712859,1,0,0
2020-03-01,ST01,11.561840650809435,8.467550046019001,1,0,0
2020-04-01,ST01,12.361897297909723,8.963147336682681,1,0,1
2020-05-01,ST01,13.573404665674204,9.61495768548997,1,0,1
2020-06-01,ST01,12.815298344553286,8.87094365457983,1,0,0
2020-07-01,ST01,12.44070836863997,8.550543989476749,1,0,0
2020-08-01,ST01,11.999244732724307,8.63572408494402,1,0,0
2020-09-01,ST01,16.77531563883267,11.854055619211275,1,1,0
2020-10-01,ST01,16.136841922082453,11.452205836609334,1,1,0
2020-11-01,ST01,15.122582147323232,10.259401329722904,1,1,0
2020-12-01,ST01,9.644925631918673,6.905589157447126,1,0,0
2021-01-01,ST01,9.81473388410035,6.961899831020206,0,0,0
2021-02-01,ST01,11.416508758666248,7.846925804815982,0,0,1
2021-03-01,ST01,11.952581544132403,8.32274701510892,0,0,0
2021-04-01,ST01,12.166622221030023,8.597548751301169,0,0,0
2021-05-01,ST01,12.577627872840633,8.850631278133779,0,0,0
2021-06-01,ST01,12.9287908181991,9.035095002821807,0,0,0
2021-07-01,ST01,13.142692105105395,9.219439941242268,0,0,0
2021-08-01,ST01,12.966557355432647,9.068814720306296,0,0,1
2021-09-01,ST01,11.337367437928275,7.993838512993294,0,0,0
2021-10-01,ST01,11.159085461764416,8.075052997062892,0,0,0
2021-11-01,ST01,10.438505161520181,6.961006697075364,0,0,0
2021-12-01,ST01,10.59760826450834,7.4142246955235915,0,0,0
2022-01-01,ST01,10.382690884098967,7.324203740842441,1,0,0
2022-02-01,ST01,10.444266967977759,7.38518502571572,1,0,0
2022-03-01,ST01,11.071894069373185,7.725017353125928,1,0,0
2022-04-01,ST01,12.857090369643307,8.720261896031065,1,0,0
2022-05-01,ST01,13.430634583646977,9.502900607780157,1,0,0
2022-06-01,ST01,13.678547729925297,9.947415132762652,1,0,1
2022-07-01,ST01,13.417007304656414,9.14206062014332,1,0,1
2022-08-01,ST01,12.836810276660234,9.179439952619768,1,0,0
2022-09-01,ST01,17.01351078067146,11.880945833489458,1,1,0
2022-10-01,ST01,16.077654731294526,11.28781126922931,1,1,0
2022-11-01,ST01,15.822169900315243,10.88787292616405,1,1,0
2022-12-01,ST01,10.127292155319523,7.071288474194927,1,0,0
2023-01-01,ST01,10.444239433811534,7.532594394088817,0,0,0
2023-02-01,ST01,10.914570794714775,7.76172597132314,0,0,0
2023-03-01,ST01,11.797893421373987,8.580574651008611,0,0,0
2023-04-01,ST01,12.915463209729905,9.292623176476027,0,0,0
2023-05-01,ST01,12.95311904498627,9.185262907973959,0,0,0
2023-06-01,ST01,13.372062928145397,9.727648760611698,0,0,0
2023-07-01,ST01,12.924664966100973,9.165068674510751,0,0,1
2023-08-01,ST01,13.169133230381828,9.410444381432557,0,0,1
2023-09-01,ST01,11.449371967061474,8.000516723771884,0,0,0
2023-10-01,ST01,10.648096616028658,7.49496541797334,0,0,0
2023-11-01,ST01,10.267950262355354,7.117105271946501,0,0,0
2023-12-01,ST01,10.262471456086494,7.356706856755665,0,0,0
2024-01-01,ST01,10.856076285959823,7.451363885494286,1,0,0
2024-02-01,ST01,10.65268946406138,7.605400432024872,1,0,0
2024-03-01,ST01,11.824290000376443,8.280107177790999,1,0,0
2024-04-01,ST01,12.3520028945355,8.886145226747885,1,0,0
2024-05-01,ST01,12.937305101838657,9.230757117164547,1,0,0
2024-06-01,ST01,14.465329211028529,10.538557431115233,1,0,1
2024-07-01,ST01,13.301689409268068,9.486987271491406,1,0,0
2024-08-01,ST01,13.086133274180332,8.90958616668872,1,0,0
2024-09-01,ST01,17.745127793010493,12.45710768392504,1,1,0
2024-10-01,ST01,16.51451220640563,11.3366474980582,1,1,0
2024-11-01,ST01,15.908661116380705,11.066962544332872,1,1,0
2024-12-01,ST01,10.56041625476633,7.64773735337135,1,0,0
2025-01-01,ST01,10.742279848965046,7.647491956135591,0,0,0
2025-02-01,ST01,10.854935733795415,7.5237372169282635,0,0,0
2025-03-01,ST01,11.979690117264555,8.250306608572002,0,0,0
2025-04-01,ST01,12.76270349239794,8.977333372276322,0,0,0
2025-05-01,ST01,14.211411369369705,9.746746074625868,0,0,0
2025-06-01,ST01,14.173925669541807,9.829722284268037,0,0,0
2025-07-01,ST01,12.89923621177299,9.12400846969426,0,0,0
2025-08-01,ST01,13.378380999357566,9.621533995444244,0,0,1
2025-09-01,ST01,11.486707251984795,8.172807741116356,0,0,0
2025-10-01,ST01,11.78303120398388,7.9032319234015125,0,0,1
2025-11-01,ST01,10.887725068037716,7.700037716835508,0,0,0
2025-12-01,ST01,10.98543975327056,7.733261516507719,0,0,0
2017-01-01,ST02,5.371777926557653,3.6929882503635434,0,0,0
2017-02-01,ST02,5.559875241347358,3.8501852502405325,0,0,0
2017-03-01,ST02,6.701103201921962,4.717783032899975,0,0,1
2017-04-01,ST02,7.42064177532555,5.266735009821663,0,0,1
2017-05-01,ST02,7.767971897860577,5.48223498853455,0,0,1
2017-06-01,ST02,6.716225432224262,4.662625078635901,0,0,0
2017-07-01,ST02,6.6505852439002116,4.773261539960061,0,0,0
2017-08-01,ST02,6.573225225814657,4.702837350385143,0,0,0
2017-09-01,ST02,5.86601942862834,4.122499436619509,0,0,0
2017-10-01,ST02,5.725051996395168,3.9836111421480336,0,0,0
2017-11-01,ST02,5.409662661701488,3.8557942121483735,0,0,0
2017-12-01,ST02,5.3770262559445605,3.805202974839266,0,0,0
2018-01-01,ST02,5.298628064488683,3.6274833796749317,1,0,0
2018-02-01,ST02,5.43932739191761,3.8296610957190107,1,0,0
2018-03-01,ST02,5.709194415863851,4.046233275300675,1,0,0
2018-04-01,ST02,6.24853691656498,4.326119795897093,1,0,0
2018-05-01,ST02,7.434499554135547,5.261427495140481,1,0,1
2018-06-01,ST02,6.796697183709867,4.652431893373704,1,0,0
2018-07-01,ST02,7.16481742839762,5.186384834485688,1,0,0
2018-08-01,ST02,6.730213243093906,4.863415023178555,1,0,0
2018-09-01,ST02,8.42741914871634,5.911554716714802,1,1,0
2018-10-01,ST02,8.164424769375247,5.79798531747238,1,1,0
2018-11-01,ST02,7.6720624437804,5.1483084111133826,1,1,0
2018-12-01,ST02,5.401958916656378,3.7204495344939734,1,0,0
2019-01-01,ST02,5.589197419458132,3.9173845547684287,0,0,0
2019-02-01,ST02,5.950075903177732,4.10501547470749,0,0,0
2019-03-01,ST02,6.162580872284297,4.406866587047702,0,0,0
2019-04-01,ST02,6.822723885831354,5.002355700512151,0,0,0
2019-05-01,ST02,6.662059446274549,4.586405000249741,0,0,0
2019-06-01,ST02,7.825329511827589,5.424665036535498,0,0,1
2019-07-01,ST02,7.463377792367906,5.286664112958054,0,0,0
2019-08-01,ST02,6.705097546856599,4.879601559092244,0,0,0
2019-09-01,ST02,7.294914444380075,5.017378554022609,0,0,1
2019-10-01,ST02,5.944422051296764,4.211854712118374,0,0,0
2019-11-01,ST02,5.760101243146076,4.208956338011188,0,0,0
2019-12-01,ST02,6.205767438989888,4.2306995373438205,0,0,1
2020-01-01,ST02,5.653044760337543,3.883436269383996,1,0,0
2020-02-01,ST02,5.831795711722374,4.076742127598527,1,0,0
2020-03-01,ST02,6.446257409508382,4.4974690112997555,1,0,0
2020-04-01,ST02,6.585508338510088,4.718421589181796,1,0,0
2020-05-01,ST02,7.191688064964729,5.094843279047298,1,0,0
2020-06-01,ST02,7.399809548290056,5.031866727091715,1,0,0
2020-07-01,ST02,7.154128536982505,5.095849981365245,1,0,0
2020-08-01,ST02,6.7485134041786115,4.702929764895426,1,0,0
2020-09-01,ST02,9.824152632065024,7.102841081737697,1,1,1
2020-10-01,ST02,8.410858034960748,5.8554551773061565,1,1,0
2020-11-01,ST02,8.248114207609138,5.741106535142266,1,1,0
2020-12-01,ST02,5.378884925240664,3.833303665037038,1,0,0
2021-01-01,ST02,5.747436243991572,4.113929294606885,0,0,0
2021-02-01,ST02,6.443689345578029,4.583691846977736,0,0,1
2021-03-01,ST02,6.21062068167628,4.231044855729527,0,0,0
2021-04-01,ST02,7.187105780472038,5.121632275193722,0,0,0
2021-05-01,ST02,7.396863931991386,5.1071138035476995,0,0,0
2021-06-01,ST02,8.011290680348642,5.674757313460602,0,0,1
2021-07-01,ST02,6.902990933550243,4.728217399576328,0,0,0
2021-08-01,ST02,7.1405000038298985,5.079186296620025,0,0,1
2021-09-01,ST02,6.464192052428211,4.483912304405368,0,0,0
2021-10-01,ST02,7.35400969804535,5.051775024133993,0,0,1
2021-11-01,ST02,5.986149186427432,4.280651496974324,0,0,0
2021-12-01,ST02,5.7155840202059185,4.049118337628186,0,0,0
2022-01-01,ST02,6.012423007112657,4.186871130658405,1,0,0
2022-02-01,ST02,5.939369873725299,4.308952545526223,1,0,0
2022-03-01,ST02,7.350420585517239,5.136576730180876,1,0,1
2022-04-01,ST02,7.8888902412635575,5.565455594600126,1,0,1
2022-05-01,ST02,8.189047613010892,5.804554644763406,1,0,1
2022-06-01,ST02,7.653308965588545,5.328920971015007,1,0,0
2022-07-01,ST02,7.457663104515275,5.30740039716198,1,0,0
2022-08-01,ST02,7.242209122382787,5.051480399078383,1,0,0
2022-09-01,ST02,9.238936568776781,6.460077902658127,1,1,0
2022-10-01,ST02,9.73199419175249,7.048313474340756,1,1,1
2022-11-01,ST02,8.726609431457844,6.024454925710183,1,1,0
2022-12-01,ST02,5.762020114803066,3.8663495135311936,1,0,0
2023-01-01,ST02,5.892278250581665,4.288061453667778,0,0,0
2023-02-01,ST02,6.6159433245630845,4.902244321561248,0,0,0
2023-03-01,ST02,6.739659519929505,4.713130917429337,0,0,0
2023-04-01,ST02,8.334377022153753,5.6483485836534335,0,0,1
2023-05-01,ST02,7.4087567512164245,5.190941235409358,0,0,0
2023-06-01,ST02,8.847723130901619,6.202178968082758,0,0,1
2023-07-01,ST02,7.56357610863258,5.312273138221616,0,0,0
2023-08-01,ST02,7.302439919269063,5.033776652924662,0,0,0
2023-09-01,ST02,7.169087815149184,5.112990274922577,0,0,0
2023-10-01,ST02,6.377635263654605,4.543575779721874,0,0,0
2023-11-01,ST02,5.982828301694179,4.091988267555986,0,0,0
2023-12-01,ST02,5.974825582167381,4.271322073131651,0,0,0
2024-01-01,ST02,6.261112115086953,4.595477313744189,1,0,0
2024-02-01,ST02,6.1860051818520185,4.3763027580319065,1,0,0
2024-03-01,ST02,7.0490029527633835,4.936212065073391,1,0,0
2024-04-01,ST02,7.225232932994941,5.0795201533447285,1,0,0
2024-05-01,ST02,7.9247529827114755,5.655919089069332,1,0,0
2024-06-01,ST02,8.128083243700184,5.532168617470434,1,0,1
2024-07-01,ST02,7.504996631025734,5.308625061464165,1,0,0
2024-08-01,ST02,7.875107919244716,5.508808674508854,1,0,1
2024-09-01,ST02,9.590525213098124,7.011467798761156,1,1,0
2024-10-01,ST02,9.241856784305766,6.4930651725149575,1,1,0
2024-11-01,ST02,8.74407897220119,6.370459913230202,1,1,0
2024-12-01,ST02,6.846600190473923,4.720484905116364,1,0,1
2025-01-01,ST02,6.270993435304466,4.473150451983729,0,0,0
2025-02-01,ST02,6.661164929824082,4.726304005171336,0,0,0
2025-03-01,ST02,6.841429408322997,4.73956022265454,0,0,0
2025-04-01,ST02,7.6492163854256265,5.412040985114985,0,0,0
2025-05-01,ST02,7.9687978664944366,5.75446505683192,0,0,0
2025-06-01,ST02,8.031869856218046,5.626017930281186,0,0,0
2025-07-01,ST02,8.877832364778628,6.047311547799435,0,0,1
2025-08-01,ST02,7.6062369056165755,5.360722006398613,0,0,0
2025-09-01,ST02,7.558893915302964,5.233043189499018,0,0,0
2025-10-01,ST02,6.689819928522849,4.684213484994168,0,0,0
2025-11-01,ST02,6.345250699836627,4.466276011442331,0,0,0
2025-12-01,ST02,6.1570745615007585,4.192824919449946,0,0,0
2017-01-01,ST03,11.890986529647096,8.340357082894387,0,0,0
2017-02-01,ST03,12.552597352404979,8.818593322267018,0,0,0
2017-03-01,ST03,12.845226981441392,9.279223431731188,0,0,0
2017-04-01,ST03,14.25380003556158,10.492507359998639,0,0,0
2017-05-01,ST03,14.704944309943405,10.470517256040806,0,0,0
2017-06-01,ST03,14.318560368972902,9.76955971183292,0,0,0
2017-07-01,ST03,14.673048983864089,10.179563681012302,0,0,0
2017-08-01,ST03,14.085427133256463,9.948119099207792,0,0,0
2017-09-01,ST03,14.046546531892774,9.976209094260927,0,0,0
2017-10-01,ST03,12.871784066443647,9.169476349620103,0,0,0
2017-11-01,ST03,11.960873162757817,8.597366496649771,0,0,0
2017-12-01,ST03,11.836818689322742,8.448630134635094,0,0,0
2018-01-01,ST03,11.986661211577202,8.789940355351959,1,0,0
2018-02-01,ST03,12.488419571385293,8.848368216399486,1,0,0
2018-03-01,ST03,12.940427897415297,9.133997158911813,1,0,0
2018-04-01,ST03,14.12123553388446,10.239528003723818,1,0,0
2018-05-01,ST03,14.451090734943609,10.06052536797679,1,0,0
2018-06-01,ST03,14.443123494810695,10.454430867524682,1,0,0
2018-07-01,ST03,15.026191844302392,10.81449778923962,1,0,0
2018-08-01,ST03,14.385575664412594,10.301779689690163,1,0,0
2018-09-01,ST03,19.718016323100137,14.61207210192406,1,1,0
2018-10-01,ST03,19.175920185653535,13.601457641793873,1,1,0
2018-11-01,ST03,19.797088414346433,14.804902205459099,1,1,1
2018-12-01,ST03,12.207687002417568,8.728476743401977,1,0,0
2019-01-01,ST03,12.425868817045988,8.696774473289281,0,0,0
2019-02-01,ST03,12.667895890139748,9.111270670989237,0,0,0
2019-03-01,ST03,13.127144501861892,9.225451201173724,0,0,0
2019-04-01,ST03,15.128628578390456,10.702565170863888,0,0,1
2019-05-01,ST03,15.039444630120157,10.88765473043162,0,0,0
2019-06-01,ST03,16.666735545875287,12.103674302566278,0,0,1
2019-07-01,ST03,16.842992133217,11.946724133234145,0,0,1
2019-08-01,ST03,14.790647133898936,10.832972872484735,0,0,0
2019-09-01,ST03,14.69949213689849,10.80212698147984,0,0,1
2019-10-01,ST03,12.237448205936916,9.041868182425926,0,0,0
2019-11-01,ST03,12.008883326539596,8.716546496442994,0,0,0
2019-12-01,ST03,11.991945120347454,8.847920431602283,0,0,0
2020-01-01,ST03,13.17692454338019,9.108147199380957,1,0,1
2020-02-01,ST03,13.687148493870467,9.768107614698032,1,0,1
2020-03-01,ST03,13.665331800342075,9.644750250892123,1,0,0
2020-04-01,ST03,15.48416070325216,11.147810907386745,1,0,1
2020-05-01,ST03,14.70673125638207,10.442190284059832,1,0,0
2020-06-01,ST03,15.358383947576169,10.994296925195583,1,0,0
2020-07-01,ST03,14.825449410026753,11.049016181122493,1,0,0
2020-08-01,ST03,14.523217970528615,10.395700378833032,1,0,0
2020-09-01,ST03,20.834786894801905,15.088150237303532,1,1,0
2020-10-01,ST03,20.22558274729981,14.45927277328548,1,1,1
2020-11-01,ST03,19.532657860125497,14.05031484671087,1,1,1
2020-12-01,ST03,12.51435216042376,8.989348192322824,1,0,0
2021-01-01,ST03,12.916187285625798,9.360060288457007,0,0,1
2021-02-01,ST03,12.014886867199053,8.830653494290347,0,0,0
2021-03-01,ST03,12.893511080153354,9.565709329065436,0,0,0
2021-04-01,ST03,14.496603888491174,10.476467717968031,0,0,0
2021-05-01,ST03,15.10675661229582,10.978160883559699,0,0,0
2021-06-01,ST03,15.267261299473192,10.71311063586108,0,0,0
2021-07-01,ST03,15.660417803190025,11.228117755157951,0,0,0
2021-08-01,ST03,13.353059422722461,9.771016784632135,0,0,0
2021-09-01,ST03,13.865978923252902,10.131539082087277,0,0,0
2021-10-01,ST03,13.49210249914882,9.731534926076609,0,0,0
2021-11-01,ST03,11.877228964162356,8.681891893992512,0,0,0
2021-12-01,ST03,11.941837228505605,8.661252147539194,0,0,0
2022-01-01,ST03,12.029185175093284,8.847210048045769,1,0,0
2022-02-01,ST03,12.571187550206563,9.081340847807445,1,0,0
2022-03-01,ST03,13.615551607870549,9.709619607044278,1,0,0
2022-04-01,ST03,16.5433411335116,11.9618437645936,1,0,1
2022-05-01,ST03,16.034006542645116,10.841224549380497,1,0,0
2022-06-01,ST03,15.270959529383592,11.052154158351197,1,0,0
2022-07-01,ST03,16.083111968956075,10.708589345791532,1,0,0
2022-08-01,ST03,15.970608257761654,11.075290643001248,1,0,1
2022-09-01,ST03,22.998296183846673,16.667467887329718,1,1,1
2022-10-01,ST03,19.723381795894397,14.301350175841515,1,1,0
2022-11-01,ST03,20.029094363622423,14.051184598238626,1,1,1
